鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元
中西區,房地(土地+建物),臺南市中西區北門路一段123巷31~60號,0.0,住,,,10303,土地1建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土構造,0801228,37.85,2,1,1,有,無,有,6500,172,,0.0,0
北區,建物,臺南市北區育德一街1~30號,0.0,住,,,10303,土地0建物1車位0,六層,10,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土構造,0930818,100.89,2,1,1,有,有,有,16000,159,,0.0,0
善化區,房地(土地+建物),臺南市善化區胡厝寮241~270號,126.0,,鄉村區,乙種建築用地,10304,土地1建物1車位0,全,2,透天厝,國民住宅,加強磚造,0691021,102.41,4,2,2,有,無,無,7000,68,,0.0,0
仁德區,土地,中正段61~90地號,101.69,農,,,10303,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,12000,118,,0.0,0
永康區,土地,南工段991~1020地號,116.16,住,,,10303,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,14000,121,,0.0,0
永康區,建物,臺南市永康區勝利街1巷31~60號,0.0,住,,,10303,土地0建物1車位0,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830926,126.82,3,2,2,有,有,有,11000,87,,0.0,0
仁德區,建物,臺南市仁德區德崙路241~270號,25.42,住,,,10303,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860922,30.05,1,1,1,有,無,有,5500,183,,0.0,0
東區,建物,臺南市東區仁東街1~30號,49.53,住,,,10303,土地0建物1車位0,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,0871218,56.77,2,2,1,有,無,有,12000,211,,0.0,0
南區,建物,臺南市南區新建路22巷1~30號,9.32,住,,,10303,土地0建物1車位0,五層,,公寓(5樓含以下無電梯),,,,9.32,3,2,2,有,無,有,6000,644,,0.0,0
南區,建物,臺南市南區大同路二段121~150號,87.26,住,,,10303,土地0建物1車位0,十一層,13,住宅大樓(11層含以上有電梯),國民住宅,鋼筋混凝土構造,0881021,95.72,3,2,2,有,無,有,15000,157,,0.0,0
中西區,房地(土地+建物),臺南市中西區中華西路二段511~540號,12.14,住,,,10304,土地1建物1車位0,見使用執照,15,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1020620,116.3,0,1,1,有,無,無,10000,86,,0.0,0
中西區,建物,臺南市中西區府前路一段122巷1~30號,20.44,住,,,10304,土地0建物1車位0,三層,10,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1021031,53.83,2,1,1,有,有,有,25000,464,,0.0,0
北區,建物,臺南市北區民德路58巷23弄1~30號,50.2,住,,,10303,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土構造,0771220,163.88,6,2,4,有,無,有,17000,104,,0.0,0
東區,房地(土地+建物),臺南市東區中華東路二段151~180號,3.81,住,,,10303,土地1建物1車位0,八層,14,套房(1房1廳1衛),住家用,鋼筋混凝土構造,0970229,44.32,1,0,1,有,有,有,11500,259,,0.0,0
永康區,土地,鹽東段451~480地號,1484.29,其他,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,67350,45,,0.0,0
永康區,建物,臺南市永康區正南五街289巷31~60號,56.9,住,,,10303,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0821228,66.8,3,1,1,有,無,有,9000,135,,0.0,0
北區,房地(土地+建物),臺南市北區和緯路一段31~60號,41.91,住,,,10303,土地1建物1車位0,見其他登記事項,11,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土構造,0930329,167.4,1,2,2,有,有,無,15000,90,,0.0,0
北區,房地(土地+建物),臺南市北區和緯路一段91~120號,44.26,住,,,10303,土地1建物1車位0,見其他登記事項,11,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土構造,0911115,170.23,1,2,2,有,有,無,15000,88,,0.0,0
善化區,房地(土地+建物),臺南市善化區光文路1~30號,122.19,住,,,10304,土地1建物1車位0,全,3,透天厝,住家用,見其他登記事項,0700727,156.15,23,1,1,有,無,有,4500,29,,0.0,0
善化區,房地(土地+建物),臺南市善化區光文路1~30號,122.19,住,,,10303,土地1建物1車位0,全,3,透天厝,住家用,見其他登記事項,0700727,156.15,23,23,23,有,無,有,5000,32,,0.0,0
東區,房地(土地+建物),臺南市東區富農街一段91~120號,73.22,住,,,10303,土地1建物1車位0,全,5,透天厝,住家用,鋼筋混凝土構造,0810508,189.52,4,2,4,有,無,無,18000,95,,0.0,0
東區,房地(土地+建物),臺南市東區長榮路一段1~30號,6.57,住,,,10304,土地1建物1車位0,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,0991213,234.23,4,2,2,有,無,有,37000,158,,0.0,0
北區,房地(土地+建物),臺南市北區臨安路二段241~270號,79.8,商,,,10304,土地1建物1車位0,見其他登記事項,4,店面(店鋪),住商用,鋼筋混凝土構造,0701228,237.54,6,2,4,有,無,無,23000,97,,0.0,0
北區,房地(土地+建物),臺南市北區臨安路二段241~270號,17.0,住,,,10304,土地1建物1車位0,十八層,22,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土構造,0890406,201.75,4,2,2,有,無,無,25910,128,,0.0,0
北區,土地,仁愛段421~450地號,208.0,商,,,10303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,20000,96,,0.0,0
新市區,房地(土地+建物),臺南市新巿區永華三街1~30號,43.75,,特定專用區,甲種建築用地,10303,土地1建物1車位0,五層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860825,134.21,3,2,2,有,有,有,8000,60,,0.0,0
安平區,土地,金華段61~90地號,2339.0,住,,,10303,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,250000,107,,0.0,0
安平區,房地(土地+建物),臺南市安平區育平四街31~60號,11.66,其他,,,10304,土地1建物1車位0,一層,17,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土構造,0850907,105.71,1,2,2,有,無,有,12000,114,,0.0,0
安平區,房地(土地+建物),臺南市安平區永華路二段691~720號,243.53,商,,,10304,土地1建物1車位0,一層,1,店面(店鋪),見其他登記事項,見其他登記事項,1030103,243.53,0,0,0,無,無,無,105000,431,,0.0,0
中西區,建物,臺南市中西區忠義路二段211~240號,0.0,商,,,10304,土地0建物1車位0,全,3,透天厝,住商用,加強磚造,0580131,70.41,2,1,1,有,無,有,12000,170,,0.0,0
中西區,建物,臺南市中西區五妃街309巷1~30號,0.0,住,,,10303,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土構造,0730626,143.04,4,2,2,有,無,有,11000,77,,0.0,0
安平區,建物,臺南市安平區平通路331~360號,90.6,商,,,10303,土地0建物1車位0,七層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,0820701,97.38,4,2,2,有,無,有,10000,103,,0.0,0
東區,建物,臺南市東區崇明十一街1~30號,0.0,住,,,10304,土地0建物1車位0,全,3,透天厝,住商用,鋼筋混凝土構造,0750808,116.83,0,1,1,有,無,無,15000,128,,0.0,0
東區,建物,臺南市東區勝利路31~60號,78.4,住,,,10303,土地0建物1車位0,全,4,透天厝,住商用,鋼筋混凝土構造,0721103,356.01,25,0,7,有,無,有,50000,140,,0.0,0
南區,建物,臺南市南區大同路二段164巷5弄1~30號,0.0,住,,,10303,土地0建物1車位0,見其他登記事項,13,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土構造,0881021,107.94,2,2,2,有,有,無,10000,93,,0.0,0
東區,建物,臺南市東區崇明路931~960號,0.0,住,,,10303,土地0建物1車位0,全,5,透天厝,見其他登記事項,鋼筋混凝土構造,0960626,153.26,2,2,1,有,無,有,25000,163,,0.0,0
東區,建物,臺南市東區凱旋路1~30號,0.0,住,,,10303,土地0建物1車位0,一層,10,華廈(10層含以下有電梯),商業用,鋼筋混凝土構造,0780419,44.9,0,0,1,有,有,無,13500,301,,0.0,0
仁德區,建物,臺南市仁德區文華路三段428巷53弄1~30號,0.0,工,,,10303,土地0建物1車位0,一層,1,廠辦,工業用,見其他登記事項,1020729,158.52,0,0,1,有,無,無,30000,189,,0.0,0
永康區,建物,臺南市永康區南工街267巷31~60號,0.0,住,,,10303,土地0建物1車位0,十一層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860926,67.46,3,2,2,有,有,有,7000,104,,0.0,0
安平區,建物,臺南市安平區建平七街661~690號,98.05,住,,,10303,土地0建物1車位0,一層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土構造,0830914,113.26,0,0,0,無,無,無,46000,406,,0.0,0
中西區,建物,臺南市中西區忠義路二段181~210號,133.79,住,,,10304,土地0建物1車位0,全,3,透天厝,住商用,加強磚造,0510101,79.07,0,0,0,無,無,無,28000,354,,0.0,0
佳里區,房地(土地+建物),臺南市佳里區光華街217巷1~30號,119.78,住,,,10304,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0750725,138.64,5,2,2,有,無,無,9000,65,,0.0,0
東區,房地(土地+建物),臺南市東區莊敬路91~120號,23.49,住,,,10303,土地1建物1車位0,三層,9,華廈(10層含以下有電梯),住商用,鋼筋混凝土構造,0860326,111.95,3,2,3,有,無,無,18000,161,,0.0,0
東區,房地(土地+建物),臺南市東區中華東路三段399巷29弄1~30號,0.0,住,,,10303,土地1建物1車位0,四層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,0880706,96.74,3,2,2,有,無,無,15000,155,,0.0,0
東區,房地(土地+建物),臺南市東區東安路48巷31~60號,0.0,住,,,10304,土地1建物1車位0,三層,3,公寓(5樓含以下無電梯),住家用,鋼筋混凝土構造,0750612,92.35,4,1,2,有,無,有,16000,173,,0.0,0
南區,房地(土地+建物),臺南市南區鹽?路291巷60弄1~30號,53.54,住,,,10304,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0621231,77.04,4,2,3,有,無,無,11000,143,,0.0,0
